degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.368421107530593872e-01,2.774193584918975830e-01,1.207262426614761353e-01,4.706451594829559326e-01,3.945659101009368896e-01,1.306862849742174149e-02,2.555147111415863037e-01,4.973383545875549316e-01
1.764705926179885864e-01,2.709677517414093018e-01,1.501592993736267090e-01,5.050537586212158203e-01,4.275659918785095215e-01,2.236637845635414124e-02,2.519280314445495605e-01,3.846859931945800781e-01
3.636363744735717773e-01,1.612903177738189697e-01,7.778644561767578125e-02,4.294777214527130127e-01,3.640267550945281982e-01,5.951684899628162384e-03,2.483333349227905273e-01,4.387655556201934814e-01
1.034482792019844055e-01,2.645161151885986328e-01,9.940683841705322266e-02,4.456067681312561035e-01,3.709168732166290283e-01,5.759003106504678726e-03,3.539402186870574951e-01,5.655753016471862793e-01
1.250000000000000000e-01,1.290322542190551758e-01,6.956637650728225708e-02,4.267895519733428955e-01,3.674395084381103516e-01,2.335446421056985855e-03,2.401315718889236450e-01,3.209650516510009766e-01
3.255814015865325928e-01,3.225806355476379395e-01,1.188953444361686707e-01,4.692473113536834717e-01,3.855103254318237305e-01,1.152644678950309753e-02,2.182222157716751099e-01,4.943297505378723145e-01
2.142857164144515991e-01,4.193548262119293213e-01,1.459243893623352051e-01,4.929032325744628906e-01,3.972319066524505615e-01,3.827590867877006531e-02,2.428057491779327393e-01,5.587306022644042969e-01
1.428571492433547974e-01,1.225806474685668945e-01,4.698970168828964233e-02,3.823809623718261719e-01,3.257081508636474609e-01,1.682419911958277225e-03,4.333333373069763184e-01,5.183650851249694824e-01
2.380952388048171997e-01,1.677419394254684448e-01,4.945598915219306946e-02,3.918433189392089844e-01,3.340359330177307129e-01,1.339517533779144287e-03,3.799999952316284180e-01,6.345723867416381836e-01
1.904761940240859985e-01,2.258064448833465576e-01,8.225205540657043457e-02,4.310906231403350830e-01,3.573879897594451904e-01,5.145348608493804932e-03,3.406408131122589111e-01,5.775712728500366211e-01
1.204819306731224060e-01,4.645161330699920654e-01,6.833328306674957275e-02,4.094777405261993408e-01,3.369072973728179932e-01,1.370769646018743515e-02,2.647670507431030273e-01,7.818475961685180664e-01
2.058823555707931519e-01,2.967741787433624268e-01,1.044957712292671204e-01,4.555914103984832764e-01,3.817553520202636719e-01,1.153075974434614182e-02,2.575169801712036133e-01,5.592721700668334961e-01
2.307692319154739380e-01,1.419354826211929321e-01,4.151356592774391174e-02,3.747465312480926514e-01,3.169289529323577881e-01,1.201659673824906349e-03,3.783068656921386719e-01,6.074691414833068848e-01
2.500000000000000000e-01,2.516129016876220703e-01,1.092020124197006226e-01,4.506451487541198730e-01,3.662948310375213623e-01,3.416995983570814133e-03,3.872180581092834473e-01,5.131217837333679199e-01
3.333333432674407959e-01,1.032258048653602600e-01,6.122884526848793030e-02,4.154838621616363525e-01,3.584775626659393311e-01,5.743575282394886017e-03,3.333333432674407959e-01,3.387384414672851562e-01
3.076923191547393799e-01,1.870967745780944824e-01,8.189547806978225708e-02,4.324731230735778809e-01,3.685913681983947754e-01,3.513116389513015747e-03,2.834757864475250244e-01,4.427885115146636963e-01
2.307692319154739380e-01,2.258064448833465576e-01,9.639754891395568848e-02,4.477573037147521973e-01,3.685913681983947754e-01,3.867494873702526093e-03,3.339658379554748535e-01,4.817660450935363770e-01
2.500000000000000000e-01,8.387096971273422241e-02,4.396412149071693420e-02,3.839784860610961914e-01,3.428007066249847412e-01,1.940234214998781681e-03,2.272727340459823608e-01,4.026207625865936279e-01
2.608695626258850098e-01,2.000000029802322388e-01,8.564574271440505981e-02,4.210906326770782471e-01,3.458254337310791016e-01,1.676417887210845947e-03,3.827160596847534180e-01,5.394240021705627441e-01
2.142857164144515991e-01,2.903225719928741455e-01,1.259458959102630615e-01,4.819354712963104248e-01,4.012991189956665039e-01,2.385271713137626648e-02,2.527777850627899170e-01,4.461401998996734619e-01
2.352941185235977173e-01,1.806451678276062012e-01,9.745714068412780762e-02,4.469892382621765137e-01,3.768610358238220215e-01,2.520139096304774284e-03,4.151234626770019531e-01,4.580551087856292725e-01
2.500000000000000000e-01,2.645161151885986328e-01,8.820950239896774292e-02,4.441935420036315918e-01,3.595738410949707031e-01,8.882038295269012451e-03,2.899878025054931641e-01,5.527663230895996094e-01
2.222222238779067993e-01,1.483870893716812134e-01,6.849145889282226562e-02,4.238709807395935059e-01,3.662948310375213623e-01,1.636367989704012871e-03,3.779904246330261230e-01,4.650814533233642578e-01
2.222222238779067993e-01,1.161290332674980164e-01,5.159765854477882385e-02,3.872196674346923828e-01,3.302827179431915283e-01,1.755820238031446934e-03,3.249999880790710449e-01,4.767720401287078857e-01
