degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
1.639344245195388794e-01,3.878787755966186523e-01,8.252771198749542236e-02,4.764213562011718750e-01,3.869115114212036133e-01,1.192779839038848877e-02,2.574552595615386963e-01,6.065093874931335449e-01
1.576087027788162231e-01,6.424242258071899414e-01,6.612002104520797729e-02,4.395021498203277588e-01,3.526170849800109863e-01,1.190175674855709076e-02,2.628817558288574219e-01,7.863003015518188477e-01
2.348993271589279175e-01,5.090909004211425781e-01,5.185059830546379089e-02,4.184920489788055420e-01,3.455490171909332275e-01,5.282102152705192566e-03,2.656391561031341553e-01,7.849933505058288574e-01
2.222222238779067993e-01,1.696969717741012573e-01,6.568127125501632690e-02,4.533405601978302002e-01,3.830901682376861572e-01,1.315084635280072689e-03,2.764550149440765381e-01,4.043751657009124756e-01
1.642857193946838379e-01,5.878787636756896973e-01,7.403705269098281860e-02,4.612698554992675781e-01,3.821465969085693359e-01,2.399146929383277893e-02,2.256289273500442505e-01,7.088570594787597656e-01
1.470588296651840210e-01,5.333333611488342285e-01,7.393221557140350342e-02,4.584920704364776611e-01,3.720659911632537842e-01,1.463676057755947113e-02,2.960671186447143555e-01,7.424014210700988770e-01
1.878612786531448364e-01,6.060606241226196289e-01,7.430711388587951660e-02,4.473809599876403809e-01,3.625035285949707031e-01,1.311645656824111938e-02,3.024091422557830811e-01,9.099186062812805176e-01
2.394366264343261719e-01,4.060606062412261963e-01,9.981644153594970703e-02,4.974819719791412354e-01,4.019469320774078369e-01,2.602940239012241364e-02,2.450650036334991455e-01,5.603398680686950684e-01
1.900826394557952881e-01,5.454545617103576660e-01,1.057053804397583008e-01,4.906637668609619141e-01,3.978244066238403320e-01,1.931912451982498169e-02,1.939576268196105957e-01,6.421229839324951172e-01
1.780821979045867920e-01,3.939394056797027588e-01,1.187835559248924255e-01,5.222799181938171387e-01,4.382811188697814941e-01,2.726771123707294464e-02,2.344152480363845825e-01,5.109291076660156250e-01
2.000000029802322388e-01,2.787878811359405518e-01,6.129990890622138977e-02,4.532900452613830566e-01,3.859490454196929932e-01,1.550699397921562195e-02,1.962962895631790161e-01,5.680531859397888184e-01
2.133333384990692139e-01,3.575757443904876709e-01,6.181442365050315857e-02,4.311688244342803955e-01,3.550377786159515381e-01,3.800651058554649353e-03,3.452080786228179932e-01,6.829661726951599121e-01
2.125984281301498413e-01,3.818181753158569336e-01,4.210416972637176514e-02,4.049566984176635742e-01,3.402445614337921143e-01,3.181952517479658127e-03,3.234486579895019531e-01,8.662023544311523438e-01
2.254901975393295288e-01,4.787878692150115967e-01,9.520325064659118652e-02,4.912193417549133301e-01,4.093707501888275146e-01,2.673298865556716919e-02,1.969852745532989502e-01,6.410149931907653809e-01
1.785714328289031982e-01,3.454545438289642334e-01,1.076295226812362671e-01,5.007647871971130371e-01,4.137373864650726318e-01,1.222507189959287643e-02,2.521944642066955566e-01,5.092223286628723145e-01
1.604938209056854248e-01,3.757575750350952148e-01,5.646973848342895508e-02,4.291991293430328369e-01,3.502291440963745117e-01,5.398481152951717377e-03,3.152359426021575928e-01,7.150716185569763184e-01
1.746031790971755981e-01,3.333333432674407959e-01,6.748873740434646606e-02,4.548051953315734863e-01,3.849913477897644043e-01,9.243113920092582703e-03,2.167272716760635376e-01,6.242163181304931641e-01
2.676056325435638428e-01,3.151515126228332520e-01,4.715014249086380005e-02,4.104112684726715088e-01,3.409923315048217773e-01,5.604606587439775467e-03,3.304597735404968262e-01,7.431515455245971680e-01
3.103448152542114258e-01,2.424242496490478516e-01,8.047489076852798462e-02,4.759668111801147461e-01,3.869115114212036133e-01,1.489701215177774429e-02,2.567760348320007324e-01,4.555801749229431152e-01
4.000000059604644775e-01,1.333333402872085571e-01,6.853179633617401123e-02,4.709090888500213623e-01,4.115424752235412598e-01,6.819469854235649109e-03,1.322751343250274658e-01,1.510291844606399536e-01
2.037037014961242676e-01,3.939394056797027588e-01,1.071345061063766479e-01,5.053102374076843262e-01,4.104537367820739746e-01,1.313563156872987747e-02,2.836934030055999756e-01,5.532389283180236816e-01
1.844660192728042603e-01,5.272727012634277344e-01,1.193160340189933777e-01,5.149567127227783203e-01,4.115424752235412598e-01,2.641003951430320740e-02,2.350295186042785645e-01,6.064392328262329102e-01
2.340425550937652588e-01,2.484848499298095703e-01,5.109109356999397278e-02,4.137445986270904541e-01,3.409923315048217773e-01,1.249034306965768337e-03,3.340108394622802734e-01,6.502900719642639160e-01
1.789473742246627808e-01,6.727272868156433105e-01,1.350370347499847412e-01,5.366233587265014648e-01,4.297825992107391357e-01,4.998550936579704285e-02,1.984153985977172852e-01,6.134049892425537109e-01
1.714285761117935181e-01,2.848484814167022705e-01,8.624832332134246826e-02,4.767243862152099609e-01,3.927886486053466797e-01,1.019331999123096466e-02,2.790697813034057617e-01,5.516614317893981934e-01
1.886792480945587158e-01,2.606060504913330078e-01,3.227460384368896484e-02,3.860678076744079590e-01,3.273238837718963623e-01,1.736732199788093567e-03,4.149888157844543457e-01,8.534887433052062988e-01
1.666666716337203979e-01,4.909090995788574219e-01,4.419345408678054810e-02,4.085930883884429932e-01,3.387587666511535645e-01,2.433163346722722054e-03,2.975220084190368652e-01,8.327230215072631836e-01
