degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.000000029802322388e-01,4.853801131248474121e-01,3.515304997563362122e-02,3.933723270893096924e-01,3.425803184509277344e-01,6.233987398445606232e-03,2.090290635824203491e-01,8.601135015487670898e-01
1.818181872367858887e-01,2.280701696872711182e-01,8.578099310398101807e-02,4.581871330738067627e-01,3.960518538951873779e-01,5.686929915100336075e-03,2.787009179592132568e-01,5.476718544960021973e-01
1.829268336296081543e-01,3.508771955966949463e-01,6.089584529399871826e-02,4.229044914245605469e-01,3.616125583648681641e-01,4.982474725693464279e-03,1.964285671710968018e-01,6.808684468269348145e-01
2.173912972211837769e-01,2.865497171878814697e-01,5.146261677145957947e-02,4.213450253009796143e-01,3.598740398883819580e-01,5.833434406667947769e-03,2.256267368793487549e-01,7.126729488372802734e-01
1.987577676773071289e-01,4.970760345458984375e-01,2.869007363915443420e-02,3.772904574871063232e-01,3.312115073204040527e-01,1.522822864353656769e-02,2.118045389652252197e-01,9.048650264739990234e-01
2.285714298486709595e-01,4.619883000850677490e-01,1.069507896900177002e-01,4.808966815471649170e-01,3.971023857593536377e-01,1.731979846954345703e-02,2.095336019992828369e-01,6.708913445472717285e-01
2.647058963775634766e-01,2.456140369176864624e-01,7.676504552364349365e-02,4.461988210678100586e-01,3.770972490310668945e-01,6.549114361405372620e-03,1.902313679456710815e-01,5.336719751358032227e-01
2.500000000000000000e-01,2.397660762071609497e-01,5.322783067822456360e-02,4.195906519889831543e-01,3.581521511077880859e-01,3.736607264727354050e-03,2.106879651546478271e-01,6.166136860847473145e-01
3.030303120613098145e-01,1.988304108381271362e-01,4.882016032934188843e-02,4.179337322711944580e-01,3.581521511077880859e-01,3.793183946982026100e-03,2.145749032497406006e-01,6.031166315078735352e-01
1.875000000000000000e-01,1.988304108381271362e-01,8.510812371969223022e-02,4.768031239509582520e-01,4.068141281604766846e-01,8.878169581294059753e-03,2.785714268684387207e-01,4.320911765098571777e-01
1.333333402872085571e-01,2.690058350563049316e-01,6.413026899099349976e-02,4.391812980175018311e-01,3.770972490310668945e-01,9.279590100049972534e-03,3.256929516792297363e-01,7.309088110923767090e-01
