degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.878787815570831299e-01,2.874999940395355225e-01,3.366960585117340088e-02,3.799999952316284180e-01,3.227430582046508789e-01,1.473846146836876869e-03,2.558262646198272705e-01,7.253620028495788574e-01
2.479338794946670532e-01,4.312500059604644775e-01,5.054139718413352966e-02,4.178124964237213135e-01,3.491974174976348877e-01,3.826645668596029282e-03,2.134927362203598022e-01,6.657400727272033691e-01
3.000000119209289551e-01,3.625000119209289551e-01,1.019926592707633972e-01,5.095833539962768555e-01,4.288800358772277832e-01,1.765336096286773682e-02,2.460606098175048828e-01,5.168547630310058594e-01
5.000000000000000000e-01,8.124999701976776123e-02,3.039286285638809204e-02,3.888541758060455322e-01,3.345713317394256592e-01,1.700139255262911320e-04,5.714285969734191895e-01,4.585893452167510986e-01
2.123893797397613525e-01,4.812499880790710449e-01,1.053068786859512329e-01,5.088541507720947266e-01,4.303240776062011719e-01,2.715633437037467957e-02,2.248287647962570190e-01,5.787228941917419434e-01
2.666666805744171143e-01,1.875000000000000000e-01,7.619795948266983032e-02,4.556249976158142090e-01,3.872916698455810547e-01,1.648490433581173420e-03,3.747126460075378418e-01,4.619500339031219482e-01
3.333333432674407959e-01,1.375000029802322388e-01,4.730299115180969238e-02,4.167708456516265869e-01,3.511160612106323242e-01,9.831439238041639328e-04,4.737991392612457275e-01,5.101886391639709473e-01
2.639999985694885254e-01,4.875000119209289551e-01,8.744510263204574585e-02,4.650000035762786865e-01,3.884688317775726318e-01,1.454029884189367294e-02,1.944834887981414795e-01,6.459840536117553711e-01
1.454545408487319946e-01,5.000000000000000000e-01,8.686371147632598877e-02,4.746874868869781494e-01,4.044501483440399170e-01,2.191746793687343597e-02,2.650501728057861328e-01,6.741730570793151855e-01
2.448979616165161133e-01,2.937499880790710449e-01,5.534470453858375549e-02,4.277083277702331543e-01,3.590063154697418213e-01,3.181007457897067070e-03,2.809330523014068604e-01,6.038102507591247559e-01
